country,region,religions,politics
South Africa,Southern Africa,"{""Christian"": 81.20, ""Muslim"": 2.00, ""Irreligion"": 14.90, ""Hindu"": 1.70, ""Buddhist"": 0.20, ""Folk religion"": 0.40, ""Other religion"": 0.30, ""Jewish"": 0.10}","[""African Christian Democratic Party or ACDP"", ""African Independent Congress or AIC"", ""African National Congress or ANC"", ""African People's Convention or APC"", ""Agang SA"", ""Congress of the People or COPE"", ""Democratic Alliance or DA"", ""Economic Freedom Fighters or EFF"", ""Freedom Front Plus or FF+"", ""GOOD"", ""Inkatha Freedom Party or IFP"", ""National Freedom Party or NFP"", ""Pan-Africanist Congress of Azania or PAC"", ""United Christian Democratic Party or UCDP"", ""United Democratic Movement or UDM""]"
Benin,Western Africa,"{""Christian"": 48.00, ""Muslim"": 28.00, ""Irreligion"": 6.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 18.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""African Movement for Development and Progress or MADEP"", ""Benin Renaissance or RB"", ""Cowrie Force for an Emerging Benin or FCBE"", ""Democratic Renewal Party or PRD"", ""Progressive Union for Renewal"", ""Republican Bloc"", ""Sun Alliance or AS"", ""The Democrats"", ""Union Makes the Nation or UN (includes PRD, MADEP)""]"
Burkina Faso,Western Africa,"{""Christian"": 26.3, ""Muslim"": 63.8, ""Irreligion"": 0.00, ""Hindu"": 9.0, ""Buddhist"": 0.9, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Act Together"", ""African Democratic Rally/Alliance for Democracy and Federation or ADF/RDA"", ""Congress for Democracy and Progress or CDP"", ""Convergence for Progress and Solidarity-Generation 3 or CPS-G3"", ""Movement for the Future Burkina Faso or MBF"", ""National Convention for Progress or CNP"", ""New Era for Democracy or NTD"", ""Pan-African Alliance for Refoundation or APR"", ""Party for Democracy and Socialism/Metba or PDS/Metba"", ""Party for Development and Change or PDC"", ""Patriotic Rally for Integrity or RPI"", ""Peoples Movement for Progress or MPP"", ""Progressives United for Renewal or PUR"", ""Union for Progress and Reform or UPC"", ""Union for Rebirth - Sankarist Party or UNIR-PS""]"
Cape Verde,Western Africa,"{""Christian"": 89.10, ""Muslim"": 2.00, ""Irreligion"": 9.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.50, ""Other religion"": 0.20, ""Jewish"": 0.00}","[""African Party for Independence of Cabo Verde or PAICV"", ""Democratic and Independent Cabo Verdean Union or UCID"", ""Democratic Christian Party or PDC"", ""Democratic Renewal Party or PRD"", ""Movement for Democracy or MPD"", ""Party for Democratic Convergence or PCD"", ""Party of Work and Solidarity or PTS"", ""Social Democratic Party or PSD""]"
Gambia,Western Africa,"{""Christian"": 4.50, ""Muslim"": 95.10, ""Irreligion"": 0.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.10, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""The Alliance for Patriotic Reorientation and Construction or APRC"", ""Gambia Democratic Congress or GDC"", ""Gambia Moral Congress or GMC"", ""National People's Party or NPP"", ""People's Progressive Party or PPP"", ""United Democratic Party or UDP""]"
Ghana,Western Africa,"{""Christian"": 71.3, ""Muslim"": 19.9, ""Irreligion"": 1.1, ""Hindu"": 0.00, ""Buddhist"": 3.2, ""Folk religion"": 4.5, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""All Peoples Congress or APC"", ""Convention People's Party or CPP"", ""Ghana Freedom Party or GFP"", ""Ghana Union Movement or GUM"", ""Great Consolidated Popular Party or GCPP"", ""Liberal Party of Ghana or LPG"", ""National Democratic Congress or NDC"", ""National Democratic Party or NDP"", ""New Patriotic Party or NPP"", ""People's National Convention or PNC"", ""Progressive People's Party or PPP"", ""United Front Party or UFP"", ""United Progressive Party or UPP""]"
Guinea,Western Africa,"{""Christian"": 10.90, ""Muslim"": 84.40, ""Irreligion"": 1.80, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 2.70, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""African Congress for Democracy and Renewal or CADRE"", ""Alliance for National Renewal or ARN"", ""Alliance for National Renewal or ARENA"", ""Bloc Liberal or BL"", ""Citizen Generation or GECI"", ""Citizen Party for the Defense of Collective Interests or PCDIC"", ""Democratic Alliance for Renewal or ADR"", ""Democratic National Movement or MND"", ""Democratic Union for Renewal and Progress or UDRP"", ""Democratic Union of Guinea or UDG"", ""Democratic People's Movement of Guinea or MPDG"", ""Democratic Workers' Party of Guinea or PDTG"", ""Front for the National Alliance or FAN"", ""Generation for Reconciliation Union and Prosperity or GRUP"", ""Guinea for Democracy and Balance or GDE"", ""Guinean Party for Peaceful Coexistence and Development or PGCD"", ""Guinean Party for Solidarity and Democracy or PGSD"", ""Guinean Union for Democracy and Development or UGDD"", ""Guinean Rally for Development or RGD"", ""Guinean Rally for Unity and Development or RGUD"", ""Guinean Renaissance Party or PGR"", ""Modern Guinea"", ""Movement for Solidarity and Development or MSD"", ""National Committee for Reconciliation and Development"", ""National Front for Development or FND"", ""National Union for Prosperity or UNP"", ""National Party for Hope and Development or PEDN"", ""New Democratic Forces or NFD"", ""New Generation for the Republic or NGR"", ""New Guinea or NG"", ""New Political Generation or NGP"", ""Party for Progress and Change or PPC"", ""Party of Citizen Action through Labor or PACT"", ""Party of Democrats for Hope or PADES"", ""Party of Freedom and Progress or PLP"", ""Party of Hope for National Development or PEDN"", ""Rally for Renaissance and Development or RRD"", ""Rally for the Guinean People or RPG"", ""Rally for the Integrated Development of Guinea or RDIG"", ""Rally for the Republic or RPR"", ""Union of Democratic Forces of Guinea or UFDG"", ""Union for Progress and Renewal or UPR"", ""Union for the Defense of Republican Interests or UDIR"", ""Union for the Progress of Guinea or UPG"", ""Union of Democratic Forces or UFD a or UFDG"", ""Union of Democrats for the Renaissance of Guinea or UDRG"", ""Union of Republican Forces or UFR"", ""Unity and Progress Party or PUP""]"
Guinea-Bissau,Western Africa,"{""Christian"": 20.00, ""Muslim"": 45.20, ""Irreligion"": 4.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 28.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""African Party for the Independence of Guinea and Cabo Verde or PAIGC"", ""Democratic Convergence Party or PCD"", ""Movement for Democratic Alternation Group of 15 or MADEM-G15"", ""National People’s Assembly – Democratic Party of Guinea Bissau or APU-PDGB"", ""New Democracy Party or PND"", ""Party for Social Renewal or PRS"", ""Republican Party for Independence and Development or PRID"", ""Union for Change or UM""]"
Côte D'Ivoire,Western Africa,"{""Christian"": 39.8, ""Muslim"": 42.5, ""Irreligion"": 12.6, ""Hindu"": 0.00, ""Buddhist"": 2.2, ""Folk religion"": 0.7, ""Other religion"": 2.2, ""Jewish"": 0.00}","[""African Peoples' Party-Cote d'Ivoire or PPA-CI"", ""Democratic Party of Cote d'Ivoire or PDCI"", ""Ivorian Popular Front or FPI"", ""Liberty and Democracy for the Republic or LIDER"", ""Movement of the Future Forces or MFA"", ""Pan-African Congress for People's Justice and Equality or COJEP"", ""Rally of Houphouetists for Democracy and Peace or RHDP"", ""Rally of the Republicans or RDR"", ""Together for Democracy and Sovereignty or EDS"", ""Together to Build (UDPCI, FPI,and allies)"", ""Union for Cote d'Ivoire or UPCI"", ""Union for Democracy and Peace in Cote d'Ivoire or UDPCI""]"
Liberia,Western Africa,"{""Christian"": 85.90, ""Muslim"": 20.00, ""Irreligion"": 1.40, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.50, ""Other religion"": 0.10, ""Jewish"": 0.00}","[""All Liberian Party or ALP"", ""Alliance for Peace and Democracy or APD"", ""Alternative National Congress or ANC"", ""Coalition for Democratic Change (includes CDC, NPP, and LPDP)"", ""Collaborating Political Parties or CPP (coalition includes ANC, LP; CPP dissolved in April 2024)"", ""Congress for Democratic Change or CDC"", ""Liberia Destiny Party or LDP"", ""Liberia National Union or LINU"", ""Liberia Transformation Party or LTP"", ""Liberian People Democratic Party or LPDP"", ""Liberian People's Party or LPP"", ""Liberian Restoration Party or LRP"", ""Liberty Party or LP"", ""Movement for Democracy and Reconstruction or MDR"", ""Movement for Economic Empowerment"", ""Movement for Progressive Change or MPC"", ""National Democratic Coalition or NDC"", ""National Democratic Party of Liberia or NDPL"", ""National Patriotic Party or NPP"", ""National Reformist Party or NRP"", ""National Union for Democratic Progress or NUDP"", ""People's Unification Party or PUP"", ""Unity Party or UP"", ""United People's Party"", ""Victory for Change Party or VCP""]"
Mali,Western Africa,"{""Christian"": 3.20, ""Muslim"": 95.00, ""Irreligion"": 0.60, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.20, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""African Solidarity for Democracy and Independence or SADI"", ""Alliance for Democracy and Progress or ADP-Maliba"", ""Alliance for Democracy in Mali-Pan-African Party for Liberty, Solidarity, and Justice or ADEMA-PASJ"", ""Alliance for the Solidarity of Mali-Convergence of Patriotic Forces or ASMA-CFP"", ""Convergence for the Development of Mali or CODEM"", ""Democratic Alliance for Peace or ADP-Maliba"", ""Movement for Mali or MPM"", ""Party for National Renewal (also Rebirth or Renaissance or PARENA)"", ""Rally for Mali or RPM"", ""Social Democratic Convention or CDS"", ""Union for Democracy and Development or UDD"", ""Union for Republic and Democracy or URD"", ""Yéléma""]"
Mauritania,Western Africa,"{""Christian"": 0.10, ""Muslim"": 99.90, ""Irreligion"": 0.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Alliance for Justice and Democracy/Movement for Renewal or AJD/MR"", ""El Insaf or Equity Party"", ""El Islah or Reform Party"", ""El Karama or Dignity Party"", ""El Vadila or Virtue Party"", ""Mauritanian Party of Union and Change or HATEM"", ""National Democratic Alliance or AND"", ""National Rally for Reform and Development or RNRD or TAWASSOUL"", ""Nida El-Watan"", ""Party for Conciliation and Prosperity or HIWAR"", ""Party of the Mauritanian Masses or Hakam"", ""Republican Front for Unity and Democracy or FRUD"", ""Sawab Party"", ""Union for Democracy and Progress or UDP"", ""Union of Planning and Construction or UPC""]"
Niger,Western Africa,"{""Christian"": 0.80, ""Muslim"": 98.40, ""Irreligion"": 0.70, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Alliance for Democracy and the Republic"", ""Alliance for Democratic Renewal or ARD-Adaltchi-Mutuntchi"", ""Alliance of Movements for the Emergence of Niger or AMEN AMIN"", ""Congress for the Republic or CPR-Inganci"", ""Democratic Alternation for Equity in Niger"", ""Democratic and Republican Renewal-RDR-Tchanji"", ""Democratic Movement for the Emergence of Niger Falala"", ""Democratic Patriots' Rally or RPD Bazara"", ""National Movement for the Development of Society-Nassara or MNSD-Nassara"", ""Nigerien Alliance for Democracy and Progress-Zaman Lahiya or ANDP-Zaman Lahiya"", ""Nigerien Democratic Movement for an African Federation or MODEN/FA Lumana"", ""Nigerien Party for Democracy and Socialism or PNDS-Tarrayya"", ""Nigerien Patriotic Movement or MPN-Kishin Kassa"", ""Nigerien Rally for Democracy and Peace"", ""Patriotic Movement for the Republic or MPR-Jamhuriya"", ""Peace, Justice, Progress–Generation Doubara"", ""Rally for Democracy and Progress-Jama'a or RDP-Jama'a"", ""Rally for Peace and Progress or RPP Farilla"", ""Social Democratic Rally or RSD-Gaskiyya"", ""Social Democratic Party or PSD-Bassira""]"
Nigeria,Western Africa,"{""Christian"": 49.3, ""Muslim"": 48.8, ""Irreligion"": 0.04, ""Hindu"": 0.01, ""Buddhist"": 1.00, ""Folk religion"": 0.06, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Accord Party or ACC"", ""Africa Democratic Congress or ADC"", ""All Progressives Congress or APC"", ""All Progressives Grand Alliance or APGA"", ""Labor Party or LP"", ""New Nigeria People’s Party or NNPP"", ""Peoples Democratic Party or PDP"", ""Young Progressive Party or YPP""]"
Senegal,Western Africa,"{""Christian"": 5.00, ""Muslim"": 92.00, ""Irreligion"": 0.20, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 2.80, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Alliance for Citizenship and Work or ACT"", ""Alliance for the Republic-Yakaar or APR"", ""Alliance of Forces of Progress or AFP"", ""AND (National Alliance for Democracy)"", ""And-Jef/African Party for Democracy and Socialism or AJ/PADS"", ""ARC (Alternative for the next generation of citizens)"", ""Awalé"", ""Benno Bokk Yakaar or BBY (United in Hope); coalition includes AFP, APR, BGC, LD-MPT, PIT, PS, and UNP"", ""Bokk Gis Gis coalition"", ""Citizen Movement for National Reform or MCRN-Bes Du Nakk"", ""Coalition Mimi 2024"", ""Dare the Future movement"", ""Democratic League-Labor Party Movement or LD-MPT"", ""Democratic Renaissance Congress"", ""Front for Socialism and Democracy/Benno Jubel or FSD/BJ"", ""Gainde Centrist Bloc or BCG"", ""General Alliance for the Interests of the Republic or AGIR"", ""Grand Party or GP"", ""Gueum sa Bopp (Believe in yourself)"", ""Independence and Labor Party or PIT"", ""Jotna Coalition"", ""Liberate the People (Yewwi Askan Wi) or YAW"", ""Madicke 2019 coalition"", ""National Union for the People or UNP"", ""Only Senegal Movement"", ""Party for Truth and Development or PVD"", ""Party of Unity and Rally or PUR"", ""Patriotic Convergence Kaddu Askan Wi or CP-Kaddu Askan Wi"", ""PRP (Republican party for Progress)"", ""Rewmi Party"", ""Save Senegal (Wallu Senegal Grand Coalition) or WS; coalition includes PDS, Jotna Coalition, Democratic Renaissance Congress"", ""Senegalese Democratic Party or PDS"", ""Socialist Party or PS"", ""Tekki Movement"", ""Réewum Ngor (Republic of Values)"", ""Servants (Les Serviteurs)""]"
Sierra Leone,Western Africa,"{""Christian"": 21.00, ""Muslim"": 78.00, ""Irreligion"": 0.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 1.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""All People's Congress or APC"", ""Sierra Leone People's Party or SLPP""]"
Saint Helena,Western Africa,"{""Christian"": 96.50, ""Muslim"": 3.50, ""Irreligion"": 0.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""none""]"
Togo,Western Africa,"{""Christian"": 43.70, ""Muslim"": 20.00, ""Irreligion"": 6.20, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 35.60, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""Action Committee for Renewal or CAR"", ""Alliance of Democrats for Integral Development or ADDI"", ""Democratic Convention of African Peoples or CDPA"", ""Democratic Forces for the Republic or FDR"", ""National Alliance for Change or ANC"", ""New Togolese Commitment"", ""Pan-African National Party or PNP"", ""Pan-African Patriotic Convergence or CPP"", ""Patriotic Movement for Democracy and Development or MPDD"", ""Socialist Pact for Renewal or PSR"", ""The Togolese Party"", ""Union of Forces for Change or UFC"", ""Union for the Republic or UNIR""]"
Anguilla,Caribbean,"{""Christian"": 90.60, ""Muslim"": 0.30, ""Irreligion"": 4.00, ""Hindu"": 0.40, ""Buddhist"": 0.00, ""Folk religion"": 2.90, ""Other religion"": 1.60, ""Jewish"": 0.10}","[""Anguilla Progressive Movement or APM; (formerly Anguilla United Movement or AUM)"", ""Anguilla United Front or AUF""]"
Antigua And Barbuda,Caribbean,"{""Christian"": 93.00, ""Muslim"": 0.60, ""Irreligion"": 1.70, ""Hindu"": 0.20, ""Buddhist"": 0.00, ""Folk religion"": 3.60, ""Other religion"": 1.00, ""Jewish"": 0.00}","[""Antigua Labor Party or ABLP"", ""Barbuda People's Movement or BPM"", ""Democratic National Alliance or DNA"", ""Go Green for Life or GGL"", ""United Progressive Party or UPP""]"
Aruba,Caribbean,"{""Christian"": 91.90, ""Muslim"": 0.20, ""Irreligion"": 6.00, ""Hindu"": 0.00, ""Buddhist"": 0.10, ""Folk religion"": 1.30, ""Other religion"": 0.10, ""Jewish"": 0.40}","[""Accion21"", ""Aruban People's Party or AVP"", ""Democratic Network or RED"", ""Movimiento Aruba Soberano (Aruban Sovereignty Movement) or MAS"", ""People's Electoral Movement Party or MEP"", ""Pueblo Orguyoso y Respeta or POR"", ""RAIZ (ROOTS)""]"
Bahamas,Caribbean,"{""Christian"": 96.00, ""Muslim"": 0.10, ""Irreligion"": 3.10, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.30, ""Other religion"": 0.30, ""Jewish"": 0.00}","[""The Coalition of Independents Party or COI"", ""Democratic National Alliance or DNA"", ""Free National Movement or FNM"", ""Progressive Liberal Party or PLP""]"
Barbados,Caribbean,"{""Christian"": 95.20, ""Muslim"": 1.00, ""Irreligion"": 1.90, ""Hindu"": 0.40, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 1.40, ""Jewish"": 0.00}","[""Alliance Party for Progress or APP"", ""Barbados Labor Party or BLP"", ""Democratic Labor Party or DLP""]"
Bonaire,Caribbean,"{""Christian"": 86.00, ""Muslim"": 0.00, ""Irreligion"": 12.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 4.00, ""Jewish"": 0.00}","[""Bonaire People's Movement"",""Bonaire Democratic Party"",""Bonaire Patriotic Union"",""Movement 21"",""Bonaire Social Party""]"
Cayman Islands,Caribbean,"{""Christian"": 83.50, ""Muslim"": 0.40, ""Irreligion"": 9.40, ""Hindu"": 0.90, ""Buddhist"": 0.00, ""Folk religion"": 4.50, ""Other religion"": 0.60, ""Jewish"": 0.80}","[""Cayman Islands Peoples Party or CIPP"", ""People's Progressive Movement or PPM""]"
Cuba,Caribbean,"{""Christian"": 59.20, ""Muslim"": 0.00, ""Irreligion"": 23.00, ""Hindu"": 0.20, ""Buddhist"": 0.00, ""Folk religion"": 17.40, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Cuban Communist Party or PCC""]"
Curaçao,Caribbean,"{""Christian"": 86.60, ""Muslim"": 0.00, ""Irreligion"": 10.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 4.40, ""Jewish"": 0.00}","[""Korsou di Nos Tur or KdnT"", ""Korsou Esun Miho or KEM"", ""Movementu Futuro Korsou or MFK"", ""Movementu Progresivo or MP"", ""Movishon Antia Nobo or MAN"", ""Partido Antia Restruktura or PAR"", ""Partido Inovashon Nashonal or PIN"", ""Partido Nashonal di Pueblo or PNP"", ""Pueblo Soberano or PS"", ""Trabou pa Kòrsou or TPK"", ""Un Korsou Hustu""]"
Dominica,Caribbean,"{""Christian"": 94.40, ""Muslim"": 0.10, ""Irreligion"": 0.50, ""Hindu"": 0.00, ""Buddhist"": 0.10, ""Folk religion"": 3.00, ""Other religion"": 1.70, ""Jewish"": 0.00}","[""Dominica Freedom Party or DFP"", ""Dominica Labor Party or DLP"", ""Dominica United Workers Party or UWP""]"
Dominican Republic,Caribbean,"{""Christian"": 88.00, ""Muslim"": 0.00, ""Irreligion"": 10.90, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.90, ""Other religion"": 0.10, ""Jewish"": 0.00}","[""Alliance for Democracy or APD"", ""Broad Front (Frente Amplio)"", ""Country Alliance or AP"", ""Dominican Liberation Party or PLD"", ""Dominican Revolutionary Party or PRD"", ""Dominicans For Change or DXC"", ""Independent Revolutionary Party or PRI"", ""Institutional Social Democratic Bloc or BIS"", ""Liberal Reformist Party or PRL (formerly the Liberal Party of the Dominican Republic or PLRD)"", ""Modern Revolutionary Party or PRM"", ""National Progressive Front or FNP"", ""People's First Party or PPG"", ""People's Force or FP"", ""Social Christian Reformist Party or PRSC""]"
Grenada,Caribbean,"{""Christian"": 96.60, ""Muslim"": 0.30, ""Irreligion"": 1.00, ""Hindu"": 0.70, ""Buddhist"": 0.00, ""Folk religion"": 1.30, ""Other religion"": 0.20, ""Jewish"": 0.00}","[""National Democratic Congress or NDC"", ""New National Party or NNP""]"
Guadeloupe,Caribbean,"{""Christian"": 95.90, ""Muslim"": 0.40, ""Irreligion"": 2.50, ""Hindu"": 0.50, ""Buddhist"": 0.00, ""Folk religion"": 0.40, ""Other religion"": 0.40, ""Jewish"": 0.00}","[""Guadeloupean Federation of the Socialist Party"",""Guadeloupe Unité Socialisme et Réalités"",""Progressive Democratic Party of Guadeloupe"",""Guadeloupe Communist Party"",""Union Populaire pour la Libération de la Guadeloupe"",""Alyans Nasyonal Gwadloup"",""Rassemblement National""]"
Haiti,Caribbean,"{""Christian"": 86.90, ""Muslim"": 0.00, ""Irreligion"": 10.60, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 2.20, ""Other religion"": 0.30, ""Jewish"": 0.00}","[""Alternative League for Haitian Progress and Emancipation (Ligue Alternative pour le Progres et l’Emancipation Haitienne) or LAPEH"", ""Christian Movement for a New Haiti or MCNH or Mochrenha"", ""Christian National Movement for the Reconstruction of Haiti or UNCRH"", ""Combat of Peasant Workers to Liberate Haiti (Konbit Travaye Peyizan Pou Libere Ayiti) or Kontra Pep La"", ""Convention for Democratic Unity or KID"", ""Cooperative Action to Rebuild Haiti or KONBA"", ""December 16 Platform or Platfom 16 Desanm"", ""Democratic Alliance Party or ALYANS (coalition includes KID and PPRH)"", ""Democratic Centers' National Council or CONACED"", ""Democratic and Popular Sector (Secteur Democratique et Populaire) or SDP"", ""Democratic Unity Convention (Konvansyon Inite Demokratik) or KID"", ""Dessalinian Patriotic and Popular Movement or MOPOD"", ""Effort and Solidarity to Create an Alternative for the People or ESKAMP"", ""Fanmi Lavalas or FL"", ""Forward (En Avant)"", ""Fusion of Haitian Social Democrats (Fusion Des Sociaux-Démocrates Haïtiens) or FHSD"", ""G18 Policy Platform (Plateforme Politique G18)"", ""Haiti in Action (Ayiti An Aksyon Haiti's Action) or AAA"", ""Haitian Tet Kale Party (Parti Haitien Tet Kale) or PHTK"", ""Independent Movement for National Reconciliation or MIRN"", ""Lavni Organization or LAVNI"", ""Lod Demokratik"", ""Love Haiti (Renmen Ayiti) or RA"", ""MTV Ayiti"", ""National Consortium of Haitian Political Parties (Consortium National des Partis Politiques Haitiens) or CNPPH"", ""National Shield Network (Reseau Bouclier National)"", ""Organization of the People's Struggle (Oganizasyon Pep Kap Lite) or OPL"", ""Patriotic Unity (Inite Patriyotik) or Inite"", ""Platform Pitit Desalin (Politik Pitit Dessalines) or PPD"", ""Political Party for Us All or Bridge (Pont) or Pou Nou Tout"", ""Popular Patriotic Dessalinien Movement (Mouvement Patriotique Populaire Dessalinien) or MOPOD"", ""Rally of Progressive National Democrats (Rassemblement des Democrates Nationaux Progressistes) or RDNP"", ""Respe (Respect)"", ""Women and Families Political Parties (Defile Pati Politik Fanm Ak Fanmi)""]"
Jamaica,Caribbean,"{""Christian"": 77.20, ""Muslim"": 0.00, ""Irreligion"": 17.20, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 4.50, ""Other religion"": 1.00, ""Jewish"": 0.00}","[""Jamaica Labor Party or JLP"", ""Jamaica Progressive Party or JPP"", ""People's National Party or PNP"", ""United Independents' Congress or UIC""]"
Martinique,Caribbean,"{""Christian"": 96.50, ""Muslim"": 0.20, ""Irreligion"": 2.30, ""Hindu"": 0.20, ""Buddhist"": 0.00, ""Folk religion"": 0.20, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""Martinican Progressive Party"",""Martinican Independence Movement"",""Build the Martinique Country"",""Péyi-A"",""Martinican Communist Party""]"
Montserrat,Caribbean,"{""Christian"": 93.50, ""Muslim"": 0.00, ""Irreligion"": 4.80, ""Hindu"": 0.10, ""Buddhist"": 0.00, ""Folk religion"": 0.20, ""Other religion"": 1.50, ""Jewish"": 0.00}","[""Movement for Change and Prosperity or MCAP"", ""People's Democratic Movement or PDM""]"
Puerto Rico,Caribbean,"{""Christian"": 89.00, ""Muslim"": 0.00, ""Irreligion"": 8.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 3.00, ""Jewish"": 0.00}","[""Citizens' Victory Movement (Movimiento Victoria Ciudadana) or MVC"", ""Democratic Party of Puerto Rico"", ""New Progressive Party or PNP (pro-US statehood)"", ""Popular Democratic Party or PPD (pro-commonwealth)"", ""Project Dignity (Projecto Dignidad) or PD"", ""Puerto Rican Independence Party or PIP (pro-independence)"", ""Republican Party of Puerto Rico""]"
Saba,Caribbean,"{""Christian"": 76.00, ""Muslim"": 6.00, ""Irreligion"": 18.00, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Windward Islands People's Movement"",""Party for Progress Equality and Prosperity"",""Saba Labour Party""]"
Saint Kitts And Nevis,Caribbean,"{""Christian"": 94.60, ""Muslim"": 0.30, ""Irreligion"": 1.60, ""Hindu"": 1.50, ""Buddhist"": 0.00, ""Folk religion"": 1.30, ""Other religion"": 0.80, ""Jewish"": 0.00}","[""Concerned Citizens Movement or CCM"", ""Nevis Reformation Party or NRP"", ""People's Action Movement or PAM"", ""People's Labour Party or PLP"", ""Saint Kitts and Nevis Labor Party or SKNLP""]"
Saint Lucia,Caribbean,"{""Christian"": 91.10, ""Muslim"": 0.10, ""Irreligion"": 6.00, ""Hindu"": 0.30, ""Buddhist"": 0.00, ""Folk religion"": 0.50, ""Other religion"": 2.00, ""Jewish"": 0.00}","[""Saint Lucia Labor Party or SLP"", ""United Workers Party or UWP""]"
Saint Vincent And The Grenadines,Caribbean,"{""Christian"": 88.70, ""Muslim"": 1.50, ""Irreligion"": 2.50, ""Hindu"": 3.40, ""Buddhist"": 0.00, ""Folk religion"": 2.00, ""Other religion"": 2.00, ""Jewish"": 0.00}","[""New Democratic Party or NDP"", ""SVG Green Party or SVGP"", ""Unity Labor Party or ULP (formed in 1994 by the coalition of Saint Vincent Labor Party or SVLP and the Movement for National Unity or MNU)""]"
Sint Eustatius,Caribbean,"{""Christian"": 85.10, ""Muslim"": 0.00, ""Irreligion"": 14.90, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 0.00, ""Jewish"": 0.00}","[""Progressive Labour Party"",""Democratic Party"",""Statia's Liberal Action Movement"",""St. Eustatius Empowerment Party"",""United People's Coalition""]"
Sint Maarten,Caribbean,"{""Christian"": 82.10, ""Muslim"": 0.00, ""Irreligion"": 7.90, ""Hindu"": 5.20, ""Buddhist"": 0.00, ""Folk religion"": 0.00, ""Other religion"": 4.80, ""Jewish"": 0.00}","[""Democratic Party or DP"", ""National Alliance or NA"", ""National Opportunity Wealth or NOW"", ""Party for Progress or PFP"", ""Sint Maarten Christian Party or SMCP"", ""Unified Resilient St Maarten Movement or URSM"", ""United People's Party or UPP"", ""United Sint Maarten Party or US Party""]"
Trinidad And Tobago,Caribbean,"{""Christian"": 65.90, ""Muslim"": 5.90, ""Irreligion"": 1.90, ""Hindu"": 22.70, ""Buddhist"": 0.30, ""Folk religion"": 1.90, ""Other religion"": 1.40, ""Jewish"": 0.00}","[""People's National Movement or PNM"", ""United National Congress or UNC"", ""Tobago People’s Party or Tobago""]"
Turks And Caicos Islands,Caribbean,"{""Christian"": 92.10, ""Muslim"": 0.00, ""Irreligion"": 4.60, ""Hindu"": 0.00, ""Buddhist"": 0.00, ""Folk religion"": 2.70, ""Other religion"": 0.60, ""Jewish"": 0.00}","[""People's Democratic Movement or PDM"", ""Progressive National Party or PNP""]"
